所属区域,小区名称,价格,房屋面积,户型
"海淀-海淀北部新区-正源尚峰尚水
/
        70.00㎡
        /南        /
          2房间1卫        
/
          中楼层                        （10层）",整租·正源尚峰尚水 2房间 南,5145 元/月,,"新上
精装
押一付一
随时看房
首次出租"
"海淀-军博-北蜂窝路15号院
/
        49.50㎡
        /南        /
          1室1厅1卫        
/
          低楼层                        （19层）",整租·北蜂窝路15号院 1室1厅 南,6500 元/月,,"新上
近地铁
集中供暖
押一付一
随时看房
首次出租"
"西城-车公庄-铁路巷
/
        57.90㎡
        /南 西北        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·铁路巷 2室1厅 南/西北,8400 元/月,,"新上
近地铁
精装
集中供暖
押一付一
随时看房
首次出租"
"朝阳-成寿寺-中海城紫鑫阁
/
        48.42㎡
        /南        /
          2房间1卫        
/
          高楼层                        （20层）",整租·中海城紫鑫阁 2房间 南,5300 元/月,,"官方核验
近地铁
精装
集中供暖"
"石景山-杨庄-鼎城世家
/
        164.73㎡
        /南 北        /
          3室2厅2卫        
/
          中楼层                        （19层）",整租·鼎城世家 3室2厅 南/北,13000 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间
随时看房"
"通州-北关-西潞苑小区
/
        78.79㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·西潞苑小区 2室1厅 南/北,3500 元/月,,"官方核验
业主自荐
集中供暖"
"通州-马驹桥-合生世界花园
/
        60.13㎡
        /南        /
          2房间1卫        
/
          中楼层                        （12层）",整租·合生世界花园 2房间 南,3200 元/月,,"官方核验
精装
集中供暖
随时看房"
"朝阳-惠新西街-安苑东里一区
/
        57.00㎡
        /东 西        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·安苑东里一区 2室1厅 东/西,7300 元/月,,"官方核验
近地铁
精装
集中供暖"
"房山-长阳-天资华府
/
        83.00㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （21层）",整租·天资华府 2室1厅 南/北,4200 元/月,,"官方核验
集中供暖
随时看房"
"朝阳-西坝河-柳芳北街9号院
/
        56.11㎡
        /东 西        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·柳芳北街9号院 2室1厅 东/西,6800 元/月,,"官方核验
近地铁
精装
集中供暖"
"海淀-定慧寺-定慧东里
/
        114.00㎡
        /东 南        /
          2室1厅1卫        
/
          中楼层                        （16层）",整租·定慧东里 2室1厅 东/南,12000 元/月,,"官方核验
精装
集中供暖
随时看房"
"朝阳-北苑-美立方
/
        68.07㎡
        /南        /
          3房间1卫        
/
          高楼层                        （13层）",整租·美立方 3房间 南,6700 元/月,,"官方核验
业主自荐
新上
近地铁
集中供暖
随时看房"
"海淀-颐和园-大有庄100号南院
/
        57.50㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （3层）",整租·大有庄100号南院 2室1厅 南/北,9500 元/月,,"官方核验
新上
精装"
"海淀-知春路-首体家属院
/
        63.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·首体家属院 2室1厅 南/北,8600 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"顺义-后沙峪-双裕花园西区
/
        111.60㎡
        /南 北        /
          2室2厅2卫        
/
          高楼层                        （6层）",整租·双裕花园西区 2室2厅 南/北,5950 元/月,,"官方核验
精装
双卫生间
随时看房"
"朝阳-红庙-慈云寺
/
        58.00㎡
        /南 西        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·慈云寺 2室1厅 南/西,7000 元/月,,"官方核验
精装
集中供暖
随时看房"
"大兴-大兴新机场-众美MIMO公馆
/
        52.45㎡
        /南        /
          1房间1卫        
/
          高楼层                        （5层）",整租·众美MIMO公馆 1房间 南,2300 元/月,,"官方核验
集中供暖"
"丰台-方庄-芳城园二区
/
        87.00㎡
        /东南        /
          3室1厅1卫        
/
          低楼层                        （25层）",整租·芳城园二区 3室1厅 东南,8000 元/月,,"官方核验
近地铁
精装
集中供暖"
"丰台-菜户营-金兴苑
/
        124.76㎡
        /东 南        /
          3室1厅2卫        
/
          低楼层                        （30层）",整租·金兴苑 3室1厅 东/南,9800 元/月,,"官方核验
近地铁
精装
双卫生间"
"丰台-青塔-首开玲珑汇
/
        54.00㎡
        /北        /
          1房间1卫        
/
          中楼层                        （6层）",整租·首开玲珑汇 1房间 北,3800 元/月,,"官方核验
集中供暖
随时看房"
"朝阳-大望路-易构空间
/
        49.34㎡
        /北        /
          1室0厅1卫        
/
          中楼层                        （28层）",整租·易构空间 1室0厅 北,7000 元/月,,"官方核验
精装
集中供暖"
"顺义-顺义其它-焦各庄街2号院
/
        63.88㎡
        /南        /
          2房间1卫        
/
          高楼层                        （12层）",整租·焦各庄街2号院 2房间 南,3500 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"丰台-方庄-芳群园一区
/
        95.00㎡
        /西南        /
          3室1厅1卫        
/
          高楼层                        （22层）",整租·芳群园一区 3室1厅 西南,8200 元/月,,"官方核验
近地铁
精装
集中供暖"
"大兴-大兴其它-大兴金茂悦
/
        74.45㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （16层）",整租·大兴金茂悦 2室1厅 南,2875 元/月,,"官方核验
精装
集中供暖
随时看房"
"海淀-六里桥-澐澐国际
/
        110.00㎡
        /西        /
          1室1厅1卫        
/
          中楼层                        （26层）",整租·澐澐国际 1室1厅 西,7300 元/月,,"官方核验
业主自荐
精装
集中供暖"
"石景山-杨庄-鼎城世家
/
        164.73㎡
        /南 北        /
          3室2厅2卫        
/
          中楼层                        （19层）",整租·鼎城世家 3室2厅 南/北,13000 元/月,,"官方核验
近地铁
精装
集中供暖
双卫生间
随时看房"
"精选          /
海淀-海淀北部新区-图景嘉园
/
        46.90㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （17层）",整租·图景嘉园 1室1厅 南,5350 元/月,,"公寓
精装
集中供暖
随时看房"
"朝阳-惠新西街-安苑东里一区
/
        57.00㎡
        /东 西        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·安苑东里一区 2室1厅 东/西,7300 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-望京-北纬40度二期
/
        98.11㎡
        /南        /
          3室1厅1卫        
/
          中楼层                        （29层）",整租·北纬40度二期 3室1厅 南,9500 元/月,,"新上
公寓
近地铁
精装
集中供暖
随时看房"
"海淀-颐和园-大有庄100号南院
/
        57.50㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （3层）",整租·大有庄100号南院 2室1厅 南/北,9500 元/月,,"官方核验
新上
精装"
"顺义-顺义其它-空港国际
/
        76.61㎡
        /南        /
          4房间1卫        
/
          中楼层                        （10层）",整租·空港国际 4房间 南,5500 元/月,,"官方核验
集中供暖"
"顺义-顺义其它-东亚首航国际
/
        52.00㎡
        /南        /
          1室1厅1卫        
/
          高楼层                        （9层）",整租·东亚首航国际 1室1厅 南,3400 元/月,,"集中供暖
随时看房"
"昌平-霍营-紫金新干线
/
        47.00㎡
        /南        /
          1室0厅1卫        
/
          低楼层                        （10层）",整租·紫金新干线 1室0厅 南,4800 元/月,,"官方核验
业主自荐
新上
集中供暖
随时看房"
"门头沟-滨河西区-永兴嘉园
/
        80.00㎡
        /西北        /
          2室1厅1卫        
/
          中楼层                        （14层）",整租·永兴嘉园 2室1厅 西北,4000 元/月,,"官方核验
集中供暖"
"通州-临河里-DBC加州小镇C区
/
        98.75㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （16层）",整租·DBC加州小镇C区 2室1厅 南/北,4600 元/月,,"官方核验
业主自荐
近地铁"
"东城-永定门-天天家园
/
        149.00㎡
        /南 北        /
          3室1厅2卫        
/
          低楼层                        （11层）",整租·天天家园 3室1厅 南/北,11500 元/月,,"官方核验
近地铁
双卫生间
随时看房"
"顺义-马坡-佳和宜园
/
        139.00㎡
        /南 北        /
          3室2厅2卫        
/
          中楼层                        （11层）",整租·佳和宜园 3室2厅 南/北,4500 元/月,,"官方核验
精装
集中供暖
双卫生间"
"通州-通州其它-城乡世纪广场莫尔空间
/
        54.00㎡
        /西        /
          3房间1卫        
/
          高楼层                        （13层）",整租·城乡世纪广场莫尔空间 3房间 西,4000 元/月,,"官方核验
精装"
"通州-武夷花园-珠江阙
/
        335.00㎡
        /东 西        /
          5室2厅2卫        
/
          低楼层                        （12层）",整租·珠江阙 5室2厅 东/西,35000 元/月,,"官方核验
业主自荐
新上
精装
集中供暖
双卫生间"
"房山-长阳-绿地启航社
/
        62.00㎡
        /西        /
          1房间1卫        
/
          高楼层                        （16层）",整租·绿地启航社 1房间 西,3200 元/月,,"官方核验
集中供暖
随时看房"
"石景山-古城-古城南路
/
        50.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （5层）",整租·古城南路 2室1厅 南,4600 元/月,,"官方核验
近地铁
集中供暖"
"海淀-西三旗-SOCO公社
/
        47.00㎡
        /东        /
          1房间1卫        
/
          低楼层                        （17层）",整租·SOCO公社 1房间 东,4900 元/月,,"官方核验
近地铁
精装
集中供暖"
