标题,小区名称,价格,面积,户型
整租·永丰里B区 2室1厅 南,精选,4460 元/月,通州-通州其它-永丰里B区,/
整租·大成国际 1室1厅 东,精选,7590 元/月,朝阳-百子湾-大成国际,/
整租·月华小区 3室1厅 南/北,房山-良乡-月华小区,2900 元/月,100.00㎡,/
整租·运河明珠 2室2厅 东南,通州-武夷花园-运河明珠,5900 元/月,104.43㎡,/
整租·首开国风美唐综合楼 2房间 西,昌平-回龙观-首开国风美唐综合楼,6800 元/月,67.00㎡,/
整租·金隆基大厦 1室1厅 北,精选,7290 元/月,东城-东四-金隆基大厦,/
整租·北京像素北区 3房间 西南/东北,朝阳-常营-北京像素北区,7200 元/月,60.00㎡,/
整租·FCC中央城 3房间 东南,房山-长阳-FCC中央城,6000 元/月,60.00㎡,/
整租·亚运新新家园林澜园 4室2厅 南/北,朝阳-亚运村小营-亚运新新家园林澜园,35000 元/月,269.00㎡,/
整租·林萃路10号院 2室1厅 南,精选,7190 元/月,朝阳-奥林匹克公园-林萃路10号院,/
整租·黑山A2区 2室1厅 南,精选,3890 元/月,门头沟-大峪-黑山A2区,/
整租·新兴年代 2室1厅 东/西,海淀-五棵松-新兴年代,8900 元/月,96.00㎡,/
整租·龙博苑三区 2室1厅 南,精选,6560 元/月,昌平-回龙观-龙博苑三区,/
整租·家和园 1室1厅 南,精选,4630 元/月,通州-北关-家和园,/
整租·BOBO自由城 4室2厅 南/北,通州-武夷花园-BOBO自由城,9000 元/月,185.88㎡,/
整租·未来假日 4室2厅 复式 南/北,丰台-马家堡-未来假日,29000 元/月,262.00㎡,/
整租·新桥南大街 2室1厅 南/北,门头沟-滨河西区-新桥南大街,2650 元/月,56.42㎡,/
整租·火星园 2室1厅 南/北,朝阳-太阳宫-火星园,14800 元/月,102.00㎡,/
整租·通典铭居 2室1厅 西,精选,6160 元/月,通州-通州北苑-通典铭居,/
整租·明天第一城5号院 2室1厅 南,精选,7190 元/月,朝阳-立水桥-明天第一城5号院,/
整租·前桃园1号 2室1厅 南/北,西城-西直门-前桃园1号,9300 元/月,58.10㎡,/
整租·佟麟阁路62号院 2室1厅 南,西城-金融街-佟麟阁路62号院,14500 元/月,69.00㎡,/
整租·双兴南区 3室2厅 南/北,顺义-顺义城-双兴南区,5000 元/月,122.00㎡,/
整租·和平里中街3号院 2室1厅 东,精选,12090 元/月,东城-和平里-和平里中街3号院,/
整租·羊肉胡同120号院 1室1厅 南,西城-金融街-羊肉胡同120号院,10000 元/月,40.60㎡,/
整租·富怀嘉苑A区 2室1厅 南/北,怀柔-怀柔-富怀嘉苑A区,2500 元/月,84.52㎡,/
整租·燕北园 3室1厅 南/北,海淀-颐和园-燕北园,9500 元/月,87.00㎡,/
整租·圆明园东里 3室1厅 南/北,海淀-五道口-圆明园东里,15500 元/月,76.80㎡,/
整租·龙湖唐宁one 6室3厅 复式 南/北,海淀-五道口-龙湖唐宁one,80000 元/月,360.00㎡,/
整租·MASTER领域 1室1厅 东南,朝阳-国展-MASTER领域,7600 元/月,58.69㎡,/
整租·熙府桃园 4室2厅 东/南/北,西城-西直门-熙府桃园,36800 元/月,192.00㎡,/
整租·万科天地 2室1厅 南,大兴-义和庄-万科天地,4200 元/月,47.18㎡,/
整租·林达大厦 3室2厅 西,朝阳-国展-林达大厦,24000 元/月,187.58㎡,/
整租·丽京花园 5室2厅 北,顺义-中央别墅区-丽京花园,20000 元/月,180.00㎡,/
整租·和平街十二区 2室1厅 南,精选,7190 元/月,朝阳-和平里-和平街十二区,/
整租·北京香颂一期 2室1厅 西,精选,10490 元/月,朝阳-望京-北京香颂一期,/
整租·景龙国际 1室1厅 南/北,朝阳-奥林匹克公园-景龙国际,21000 元/月,160.00㎡,/
整租·西果园小区 2室1厅 南,精选,5390 元/月,通州-通州北苑-西果园小区,/
整租·冠城大通澜石 2室1厅 南,朝阳-太阳宫-冠城大通澜石,22000 元/月,110.97㎡,/
整租·澳洲康都 1室1厅 南,朝阳-望京-澳洲康都,7600 元/月,66.88㎡,/
整租·台湖金茂悦 3室1厅 南/北,通州-通州其它-台湖金茂悦,6000 元/月,89.00㎡,/
整租·上线6号 1房间 西,朝阳-常营-上线6号,4000 元/月,48.00㎡,/
整租·后现代城C区 1室1厅 北,朝阳-大望路-后现代城C区,9800 元/月,69.18㎡,/
整租·远见名苑 1室1厅 西,精选,7890 元/月,西城-广安门-远见名苑,/
整租·前半壁街 2室1厅 南/北,西城-官园-前半壁街,8500 元/月,59.00㎡,/
整租·新外大街甲8号院 2室1厅 东,精选,8960 元/月,西城-马甸-新外大街甲8号院,/
整租·陶瓷厂宿舍 2室1厅 南/北,精选,5200 元/月,海淀-安宁庄-陶瓷厂宿舍,/
整租·北礼士路南区 1室1厅 东,西城-阜成门-北礼士路南区,6900 元/月,47.60㎡,/
整租·观湖国际 4室2厅 南/北,朝阳-朝阳公园-观湖国际,42000 元/月,296.00㎡,/
整租·宁馨苑 3室2厅 南/北,昌平-东关-宁馨苑,5600 元/月,140.74㎡,/
整租·安翔南里 2室1厅 南,朝阳-健翔桥-安翔南里,5500 元/月,55.00㎡,/
整租·茂华景上景 3房间 南,石景山-杨庄-茂华景上景,6500 元/月,60.00㎡,/
整租·芳群园四区 2室1厅 东,精选,7190 元/月,丰台-方庄-芳群园四区,/
整租·莫奈花园 4室2厅 复式 南/北,顺义-后沙峪-莫奈花园,23000 元/月,221.00㎡,/
整租·中广宜景湾 2室1厅 南,精选,9990 元/月,朝阳-望京-中广宜景湾,/
整租·首创远洋·禧瑞春秋 5室2厅 南/北,朝阳-中央别墅区-首创远洋·禧瑞春秋,24000 元/月,252.00㎡,/
整租·金港国际 4室2厅 复式 南/北,朝阳-大望路-金港国际,17000 元/月,161.38㎡,/
整租·万科紫苑 4房间 南,丰台-青塔-万科紫苑,10000 元/月,80.00㎡,/
整租·裕祥花园 3室1厅 南/北,顺义-后沙峪-裕祥花园,4700 元/月,100.14㎡,/
整租·万通天竺新新家园 3室2厅 南/北,顺义-天竺-万通天竺新新家园,18000 元/月,158.66㎡,/
整租·上奥世纪中心 1房间 南,昌平-西三旗-上奥世纪中心,35000 元/月,414.00㎡,/
整租·远洋商务 3室1厅 南/西/北,朝阳-四惠-远洋商务,46000 元/月,360.14㎡,/
整租·空港茗苑2号院 2室1厅 南,大兴-大兴机场空港-空港茗苑2号院,1800 元/月,82.00㎡,/
整租·双旗杆东里 3室2厅 东,西城-马甸-双旗杆东里,13500 元/月,94.00㎡,/
整租·国门智慧城 3房间 东/西,顺义-后沙峪-国门智慧城,4500 元/月,51.52㎡,/
整租·世界侨商中心 1室1厅 北,精选,3800 元/月,通州-北关-世界侨商中心,/
整租·日坛国际公寓 2室1厅 南/西,朝阳-朝阳门外-日坛国际公寓,17500 元/月,116.05㎡,/
整租·米拉小镇 1房间 东,通州-马驹桥-米拉小镇,3100 元/月,64.24㎡,/
整租·文晟家园 1室1厅 南,精选,5500 元/月,海淀-西三旗-文晟家园,/
整租·应用文理学院 1室1厅 南,海淀-牡丹园-应用文理学院,6600 元/月,42.00㎡,/
整租·公园1872 1室1厅 西,朝阳-石佛营-公园1872,17500 元/月,98.27㎡,/
整租·东风家园 1室1厅 东南,精选,6560 元/月,朝阳-朝阳公园-东风家园,/
整租·富力城A区 1室0厅 北,朝阳-双井-富力城A区,9500 元/月,62.43㎡,/
整租·中国铁建花语金郡 2室1厅 东/南/北,大兴-瀛海-中国铁建花语金郡,4600 元/月,76.52㎡,/
整租·苹果社区南区 2室2厅 南,朝阳-双井-苹果社区南区,12000 元/月,112.00㎡,/
整租·天居园 2室1厅 东,朝阳-奥林匹克公园-天居园,13000 元/月,133.00㎡,/
整租·阳春光华家园 2室1厅 西南,海淀-万柳-阳春光华家园,18000 元/月,107.12㎡,/
整租·育慧里二区 3室1厅 西/北,朝阳-亚运村小营-育慧里二区,10500 元/月,87.00㎡,/
整租·保利罗谷小区 3室1厅 南/北,昌平-昌平其它-保利罗谷小区,5000 元/月,89.00㎡,/
整租·白云观 2室1厅 南,西城-木樨地-白云观,6500 元/月,47.00㎡,/
整租·农光里 3室1厅 南/北,朝阳-劲松-农光里,7200 元/月,76.41㎡,/
整租·SOHO尚都 1室1厅 西南,朝阳-东大桥-SOHO尚都,37000 元/月,265.08㎡,/
整租·丽都壹号 2室1厅 南,朝阳-酒仙桥-丽都壹号,11000 元/月,83.00㎡,/
整租·志强南园 1室1厅 南,精选,7160 元/月,海淀-新街口-志强南园,/
整租·民安小区东直门北中街 1室1厅 东/西,东城-东直门-民安小区东直门北中街,7500 元/月,42.00㎡,/
整租·芭蕾雨悦都南区 2室2厅 南/北,房山-长阳-芭蕾雨悦都南区,5300 元/月,64.00㎡,/
整租·花家地南里 2室1厅 东南,精选,5800 元/月,朝阳-望京-花家地南里,/
整租·天宁寺前街北里 2室1厅 南,西城-天宁寺-天宁寺前街北里,6300 元/月,38.81㎡,/
整租·中纺宿舍南院 2室1厅 南/北,海淀-甘家口-中纺宿舍南院,9800 元/月,85.70㎡,/
整租·花家地小区 1室1厅 南,精选,5400 元/月,朝阳-望京-花家地小区,/
整租·中旅·亦府 3室2厅 南/北,大兴-亦庄开发区其它-中旅·亦府,5800 元/月,89.00㎡,/
整租·丽水莲花 1室1厅 北,精选,7290 元/月,西城-广安门-丽水莲花,/
整租·枫丹壹号二期 3室1厅 南/北,亦庄开发区-亦庄开发区其它-枫丹壹号二期,10500 元/月,121.00㎡,/
整租·南海家园五里 2室1厅 南,精选,5190 元/月,大兴-亦庄开发区其它-南海家园五里,/
整租·朝阳门内大街 1室1厅 南,精选,6990 元/月,东城-朝阳门内-朝阳门内大街,/
整租·大山子北里 2室1厅 东南,精选,6860 元/月,朝阳-大山子-大山子北里,/
整租·北辰机械厂 1室0厅 北,精选,3300 元/月,海淀-西三旗-北辰机械厂,/
整租·北环中心 1室1厅 东南,西城-马甸-北环中心,22300 元/月,141.00㎡,/
整租·海淀嘉郡 2室1厅 南/北,海淀-海淀北部新区-海淀嘉郡,4800 元/月,80.37㎡,/
整租·德茂小区 2室1厅 南/北,大兴-瀛海-德茂小区,3400 元/月,54.76㎡,/
整租·将府家园 2室1厅 西南,精选,8660 元/月,朝阳-酒仙桥-将府家园,/
整租·科学园南里七区 2室1厅 南/北,朝阳-南沙滩-科学园南里七区,8200 元/月,71.00㎡,/
整租·北影小区 2室1厅 南,精选,8290 元/月,海淀-北太平庄-北影小区,/
整租·中国铁建国际城 2室1厅 东/北,朝阳-北苑-中国铁建国际城,7000 元/月,61.00㎡,/
整租·清和园 3室1厅 南/北,大兴-旧宫-清和园,5000 元/月,102.00㎡,/
整租·中国铁建顺鑫汇 4房间 南/北,顺义-顺义其它-中国铁建顺鑫汇,4300 元/月,65.48㎡,/
整租·首开万科城市之光盛佳尚苑 3房间 东,通州-通州其它-首开万科城市之光盛佳尚苑,4500 元/月,37.13㎡,/
整租·航城广场 3房间 南,顺义-顺义其它-航城广场,3800 元/月,60.00㎡,/
整租·首开万科城市之光 1室1厅 LOFT 东,精选,4200 元/月,通州-通州其它-首开万科城市之光,/
整租·西山艺境3号院 3室2厅 南/北,门头沟-大峪-西山艺境3号院,7500 元/月,140.97㎡,/
整租·富力华庭苑西区 3室1厅 南/北,大兴-大兴新机场-富力华庭苑西区,3800 元/月,100.00㎡,/
整租·华樾北京一期 3室2厅 南/北,朝阳-望京-华樾北京一期,14000 元/月,89.00㎡,/
整租·石门营新区五区 2室1厅 南/北,门头沟-石门营-石门营新区五区,3300 元/月,64.00㎡,/
整租·南沙滩小区 2室1厅 南/北,朝阳-南沙滩-南沙滩小区,6700 元/月,58.47㎡,/
整租·新华东街 2室1厅 北,精选,5090 元/月,通州-万达-新华东街,/
整租·FCC中央城 1室1厅 西,精选,3990 元/月,房山-长阳-FCC中央城,/
整租·京旺家园 1室1厅 南,精选,4800 元/月,朝阳-中央别墅区-京旺家园,/
整租·彩虹新城 1室1厅 西,精选,4690 元/月,大兴-枣园-彩虹新城,/
整租·富力城B区 2室1厅 北,朝阳-双井-富力城B区,13000 元/月,93.80㎡,/
整租·万科天地 3室1厅 LOFT 东,大兴-义和庄-万科天地,4400 元/月,56.68㎡,/
整租·东亚首航国际 1房间 北,顺义-顺义其它-东亚首航国际,2200 元/月,27.00㎡,/
整租·中新佳园一区 2室1厅 南/西/北,西城-马连道-中新佳园一区,14000 元/月,102.61㎡,/
整租·铁二区 2室1厅 东,精选,8890 元/月,西城-月坛-铁二区,/
整租·东中街 2室1厅 南,东城-东直门-东中街,8100 元/月,58.56㎡,/
整租·中纺东里 2室1厅 南,精选,7560 元/月,朝阳-三里屯-中纺东里,/
整租·供电局家属楼 2室1厅 南/北,顺义-顺义城-供电局家属楼,4000 元/月,60.00㎡,/
整租·二里庄小区 2室1厅 南,精选,8290 元/月,海淀-二里庄-二里庄小区,/
整租·琥珀郡 1室1厅 西,精选,4030 元/月,昌平-西关环岛-琥珀郡,/
整租·明天第一城6号院 3房间 南,精选,8160 元/月,朝阳-立水桥-明天第一城6号院,/
整租·北京像素北区 2房间 西,朝阳-常营-北京像素北区,5600 元/月,46.00㎡,/
整租·北太平庄路 2室1厅 南/北,海淀-北太平庄-北太平庄路,8400 元/月,57.40㎡,/
整租·东馨园 2室1厅 南,精选,7630 元/月,海淀-西北旺-东馨园,/
整租·富力城A区 1室1厅 东,朝阳-双井-富力城A区,10200 元/月,60.00㎡,/
整租·石油大院 2室1厅 南/北,海淀-二里庄-石油大院,8500 元/月,60.00㎡,/
整租·德外大街12号院 3室1厅 南/西,西城-六铺炕-德外大街12号院,24000 元/月,105.00㎡,/
整租·贵园南里乙区 3室1厅 南/北,亦庄开发区-亦庄-贵园南里乙区,6800 元/月,103.00㎡,/
整租·万通天竺新新家园 3室2厅 南/北,顺义-天竺-万通天竺新新家园,16000 元/月,157.00㎡,/
整租·双花园南里 2室1厅 南/北,朝阳-双井-双花园南里,6400 元/月,52.77㎡,/
整租·北大地一里 1室1厅 南,精选,4630 元/月,丰台-北大地-北大地一里,/
整租·马道口 2室1厅 南,精选,6930 元/月,朝阳-甜水园-马道口,/
整租·海棠公社 3室2厅 南/北,朝阳-豆各庄-海棠公社,50000 元/月,293.07㎡,/
整租·朝阳门北小街 1室1厅 北,精选,8290 元/月,东城-朝阳门内-朝阳门北小街,/
整租·金隅丽景园 1室1厅 东,朝阳-常营-金隅丽景园,4800 元/月,47.64㎡,/
整租·高家园五区 1室1厅 东,朝阳-酒仙桥-高家园五区,6200 元/月,43.11㎡,/
整租·芳古园一区 2室1厅 东南,精选,6660 元/月,丰台-方庄-芳古园一区,/
整租·大方家胡同 2室1厅 东/西,东城-朝阳门内-大方家胡同,7300 元/月,52.00㎡,/
整租·马连道中里 2室1厅 南,西城-马连道-马连道中里,7000 元/月,59.18㎡,/
整租·首创伊林郡一期 4室1厅 南/北,房山-良乡-首创伊林郡一期,5300 元/月,112.81㎡,/
整租·新安北里 3室1厅 东/西,西城-白纸坊-新安北里,7600 元/月,70.78㎡,/
整租·天赐良园二期 3室2厅 复式 南/北,通州-北关-天赐良园二期,9300 元/月,188.00㎡,/
整租·中信锦园 2室1厅 南/北,西城-陶然亭-中信锦园,18000 元/月,96.00㎡,/
整租·天通苑三区 3室1厅 南/北,昌平-天通苑-天通苑三区,9200 元/月,166.50㎡,/
整租·鸿坤理想城大满贯 2室1厅 南,大兴-西红门-鸿坤理想城大满贯,4200 元/月,67.05㎡,/
整租·百合湾西区 2房间 北,通州-武夷花园-百合湾西区,3700 元/月,30.00㎡,/
整租·双柳新居 2室1厅 南,精选,5960 元/月,朝阳-双桥-双柳新居,/
整租·京贸国际城 3室2厅 南/北,通州-武夷花园-京贸国际城,7500 元/月,123.54㎡,/
整租·北重西厂 2室1厅 南/北,石景山-鲁谷-北重西厂,4900 元/月,63.00㎡,/
整租·安华里社区 2室1厅 东北,精选,8430 元/月,朝阳-安贞-安华里社区,/
整租·瀛海府 3室1厅 南/北,大兴-瀛海-瀛海府,6300 元/月,89.00㎡,/
整租·橙色年代 1室0厅 北,海淀-六里桥-橙色年代,4900 元/月,53.00㎡,/
整租·临河悦园14号院 2室1厅 南,顺义-顺义其它-临河悦园14号院,3000 元/月,75.97㎡,/
整租·皂君东里 2室1厅 南,精选,8390 元/月,海淀-皂君庙-皂君东里,/
整租·首开常青藤一期 4室2厅 复式 南/北,朝阳-东坝-首开常青藤一期,9900 元/月,160.39㎡,/
整租·后现代城B区 1室1厅 南,朝阳-大望路-后现代城B区,7000 元/月,63.00㎡,/
整租·南关大街 2室1厅 南/北,房山-城关-南关大街,1650 元/月,54.21㎡,/
整租·松榆里 2室1厅 南/北,朝阳-潘家园-松榆里,5200 元/月,60.00㎡,/
整租·汤泉逸墅 2室2厅 南/北,海淀-四季青-汤泉逸墅,18500 元/月,139.00㎡,/
整租·金都杭城西区 3室1厅 南/北,朝阳-百子湾-金都杭城西区,14000 元/月,148.00㎡,/
整租·航天城小区 2室1厅 南,精选,8430 元/月,海淀-海淀北部新区-航天城小区,/
整租·强佑清河新城府学上院 1室1厅 西北,精选,6660 元/月,海淀-清河-强佑清河新城府学上院,/
整租·韩建·观山源墅 5室3厅 南/北,房山-良乡-韩建·观山源墅,10000 元/月,350.00㎡,/
整租·DBC加州小镇C区 2室1厅 南,精选,5260 元/月,通州-临河里-DBC加州小镇C区,/
整租·永乐东区 2室1厅 南/北,石景山-鲁谷-永乐东区,5100 元/月,62.00㎡,/
整租·茗筑 2室1厅 西南,精选,9130 元/月,西城-马连道-茗筑,/
整租·阜成门外大街甲40号 2室1厅 南/北,西城-月坛-阜成门外大街甲40号,8500 元/月,59.60㎡,/
整租·金茂北京国际社区 2室2厅 南/北,顺义-顺义其它-金茂北京国际社区,3300 元/月,70.00㎡,/
整租·富力华庭苑东区 3室1厅 南/北,大兴-大兴新机场-富力华庭苑东区,3800 元/月,100.78㎡,/
整租·远洋沁山水上品 3室2厅 东/西,石景山-鲁谷-远洋沁山水上品,19000 元/月,122.52㎡,/
整租·六里桥北里 3室1厅 南/北,丰台-六里桥-六里桥北里,9000 元/月,82.00㎡,/
整租·青云北区 2室1厅 南,精选,9460 元/月,海淀-双榆树-青云北区,/
整租·龙旗广场 2室1厅 南/北,昌平-回龙观-龙旗广场,6600 元/月,75.00㎡,/
整租·苹果社区南区 3室2厅 南/北,朝阳-双井-苹果社区南区,17500 元/月,171.00㎡,/
整租·富力阳光美园 2室1厅 南,朝阳-常营-富力阳光美园,6900 元/月,89.00㎡,/
